id,county,tot_wells,tot_over,pct_bad,n_ppm,trend,facts,url,photo
1,Alachua County,340,17,5,0.037,none,,https://alachua.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,1.png
2,Baker County,41,0,0,not reported,none,,https://baker.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,2.png
3,Bay County,60,0,0,0.075,none,,https://bay.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,3.png
4,Bradford County,62,1,1.612903226,0.015,none,,https://bradford.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,4.png
5,Brevard County,343,0,0,0.031,none,,https://brevard.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,5.png
6,Broward County,153,0,0,0.03,none,,https://broward.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,6.png
7,Calhoun County,38,0,0,0.043,up,,https://calhoun.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,7.png
8,Charlotte County,41,0,0,0.04,none,,https://charlotte.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,8.png
9,Citrus County,83,0,0,not reported,none,,https://citrus.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,9.png
10,Clay County,56,0,0,0.012,none,,https://clay.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,10.png
11,Collier County,36,0,0,0.03,down,"In 2019, Collier County was voted to have the best drinking water in Southwest Florida by a panel of judges at the Florida Section of the American Water Works Association.",https://collier.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,11.png
12,Columbia County,63,2,3.174603175,not detected,none,,https://columbia.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,12.png
13,Miami-Dade County,493,6,1.21703854,0.06,none,,https://miamidade.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,13.png
14,DeSoto County,163,2,1.226993865,0.013,none,,https://desoto.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,14.png
15,Dixie County,58,1,1.724137931,not reported,none,,https://dixie.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,15.png
16,Duval County,3099,25,0.806711843,0.015,none,,https://duval.floridahealth.gov/programs-and-services/environmental-health/drinking-water/index.html,16.png
